AB006953	1	945
AB015962	421	733
AB016274	547	637
AB018224	170	304
AB018225	170	304
AB018226	170	304
AB018227	150	305
AB018228	150	305
AB018229	150	305
AB018230	150	305
AB018231	486	638
AB018232	507	638
AB021885	129	633
AB021886	129	633
AB021887	507	730
AB021888	399	730
AB021889	507	850
AB021890	129	303
AB021891	507	850
AB021892	507	850
AB021893	495	730
AB021894	495	730
AB021895	129	730
AB021896	129	730
AB021897	129	730
AB021898	129	633
AB021899	495	850
AB021900	399	730
AB021901	507	730
AB022892	398	724
AB022893	404	724
AB022894	404	724
AB022895	403	724
AB022896	405	724
AB022897	403	724
AB022898	402	461
AB022899	399	724
AB022900	401	724
AB022901	401	724
AB022902	507	724
AB022903	507	724
AB022904	507	724
AB026019	486	724
AB026020	507	697
AB026021	507	589
AB026022	546	589
AB026023	546	637
AB026024	495	637
AB026025	507	638
AB026026	507	592
AB026027	509	631
AB026028	486	727
AB026029	546	633
AB026030	543	592
AB028664	397	724
AB032026	495	724
AB032027	398	724
AB032028	398	726
AB032029	398	660
AB032030	398	660
AB032554	25	724
AB034824	1	724
AB034825	396	724
AB034826	397	724
AB038381	506	850
AB038556	399	730
AB040676	507	724
AB042837	507	730
AB042861	397	731
AB042952	399	659
AB043025	508	850
AB043068	405	731
AB046473	405	462
AB047553	396	724
AB047821	506	724
AB047825	129	270
AB049981	486	731
AB049982	495	636
AB049983	399	636
AB049984	104	268
AB049985	129	741
AB049986	129	730
AB049987	131	749
AB049988	412	697
AB049989	129	294
AB049990	495	743
AB049991	129	636
AB051070	400	730
AB051110	486	731
AB051197	42	730
AB054124	1	945
AB054125	40	945
AB054126	42	945
AB054127	25	731
AB054128	400	850
AB054129	365	848
AB054130	403	850
AB054131	396	732
AB054132	39	732
AB054133	26	850
AB054134	507	744
AB059558	1	206
AB070205	129	947
AB070206	1	945
AB070207	396	739
AB070241	1	945
AB070242	130	731
AB070243	42	730
AB079255	495	724
AB084628	486	724
AB084629	486	724
AB084630	486	724
AB084631	486	724
AB084632	486	724
AB084633	486	724
AB084634	486	724
AB090386	102	307
AB092647	495	724
AB092648	486	724
AB094061	507	789
AB095517	495	724
AB095519	399	726
AB095522	495	726
AB095523	485	726
AB095526	485	726
AB095527	485	726
AB095530	373	726
AB095998	396	724
AB096005	149	724
AB097669	130	724
AB099716	102	724
AB101290	130	724
AB101291	130	724
AB102724	130	724
AB102725	130	724
AB103467	130	724
AB103468	130	724
AB105165	130	724
AB105447	130	724
AB106283	130	216
AB106284	130	216
AB106285	130	216
AB106286	130	216
AB106287	130	216
AB106288	130	216
AB106289	130	216
AB106290	130	216
AB106291	130	216
AB106292	130	216
AB106293	130	216
AB106294	130	216
AB106295	130	216
AB106296	130	216
AB106297	130	216
AB106298	130	216
AB106299	130	216
AB106300	130	216
AB106301	130	216
AB106302	130	216
AB106303	130	216
AB106304	130	216
AB106305	130	216
AB106306	130	216
AB106307	130	216
AB106308	130	216
AB106309	130	216
AB106310	130	216
AB106311	130	216
AB107054	130	216
AB107055	130	216
AB107056	130	216
AB107057	102	216
AB107058	130	216
AB107059	130	216
AB107060	130	216
AB107061	130	216
AB107062	130	216
AB107063	130	216
AB107064	102	216
AB107065	130	216
AB107066	130	216
AB107067	130	216
AB107068	102	216
AB107069	130	209
AB107070	130	209
AB107071	130	209
AB107072	130	216
AB107074	130	216
AB107075	130	216
AB107076	130	216
AB107077	130	216
AB107078	130	216
AB107079	130	216
AB107080	130	216
AB107081	130	209
AB107082	130	216
AB108498	149	724
AB108559	373	645
AB108560	403	724
AB108561	403	724
AB108562	403	724
AB108563	403	724
AB108564	403	724
AB108565	403	724
AB108566	403	724
AB108567	404	724
AB108568	404	724
AB108579	404	724
AB108581	404	724
AB108583	508	724
AB108585	508	724
AB108587	508	724
AB108589	508	724
AB108591	508	724
AB108593	508	724
AB108595	508	724
AB108597	508	724
AB108599	508	724
AB108601	508	724
AB108603	508	724
AB108605	508	724
AB108607	508	724
AB108609	508	724
AB108611	508	724
AB108613	508	724
AB108615	508	724
AB108617	508	724
AB108619	508	724
AB108621	508	724
AB108623	508	724
AB108625	508	724
AB108627	508	724
AB108629	508	724
AB108631	508	724
AB108633	508	724
AB108635	508	724
