Family	FamilyID
Aplocheilidae	315
Nothobranchiidae	316
Rivulidae	317
Profundulidae	318
Goodeidae	319
Fundulidae	320
Valenciidae	321
Cyprinodontidae	322
Anablepidae	323
Poeciliidae	324
Synbranchidae	325
Chaudhuriidae	326
Mastacembelidae	327
Nematistiidae	328
Coryphaenidae	329
Rachycentridae	330
Echeneidae	331
Carangidae	332
Menidae	333
Sphyraenidae	334
Xiphiidae	335
Istiophoridae	336
Anabantidae	337
Helostomatidae	338
Osphronemidae	339
Channidae	340
Nandidae	341
Badidae	342
Pristolepididae	343
Psettodidae	344
Citharidae	345
Scophthalmidae	346
Paralichthyidae	347
Pleuronectidae	348
Bothidae	349
Paralichthodidae	350
Poecilopsettidae	351
Rhombosoleidae	352
Achiropsettidae	353
Samaridae	354
Achiridae	355
Soleidae	356
Cynoglossidae	357
Pegasidae	358
Solenostomidae	359
Syngnathidae	360
Aulostomidae	361
Fistulariidae	362
Macroramphosidae	363
Centriscidae	364
Dactylopteridae	365
Icosteidae	366
Callionymidae	367
Draconettidae	368
Scombrolabracidae	369
Gempylidae	370
Trichiuridae	371
Scombridae	372
Amarsipidae	373
Centrolophidae	374
Nomeidae	375
Ariommatidae	376
Tetragonuridae	377
Stromateidae	378
Chiasmodontidae	379
Champsodontidae	380
Pinguipedidae	381
Cheimarrichthyidae	382
Trichonotidae	383
Creediidae	384
Percophidae	385
Leptoscopidae	386
Ammodytidae	387
Trachinidae	388
Uranoscopidae	389
Labridae	390
Odacidae	391
Scaridae	392
Centropomidae	393
Latidae	394
Gerreidae	395
Centrogenyidae	396
Perciliidae	397
Howellidae	398
Acropomatidae	399
Epigonidae	400
Polyprionidae	401
Lateolabracidae	402
Mullidae	403
Glaucosomatidae	404
Pempheridae	405
Oplegnathidae	406
Kuhliidae	407
Leptobramidae	407a
Polynemidae	408a
Bathyclupeidae	408
Toxotidae	409
Arripidae	410
Dichistiidae	411
Kyphosidae	412
Terapontidae	413
Percichthyidae	414
Sinipercidae	415
Enoplosidae	416
Pentacerotidae	417
Dinopercidae	418
Banjosidae	419
Centrarchidae	420
Serranidae	421
Percidae	422
Lactariidae	423
Dinolestidae	424
Scombropidae	425
Pomatomidae	426
Bramidae	427
Caristiidae	428
Monodactylidae	429
Priacanthidae	430
Leiognathidae	431
Chaetodontidae	432
Pomacanthidae	433
Malacanthidae	434
Haemulidae	435
Hapalogenyidae	436
Lutjanidae	437
Caesionidae	438
Cirrhitidae	439
Chironemidae	440
Aplodactylidae	441
Cheilodactylidae	442
Latridae	443
Cepolidae	444
Scatophagidae	445
Siganidae	446
Bovichtidae	447
Pseudaphritidae	448
Eleginopsidae	449
Nototheniidae	450
Harpagiferidae	451
Artedidraconidae	452
Bathydraconidae	453
Channichthyidae	454
Scorpaenidae	455
Aploactinidae	456
Eschmeyeridae	457
Pataecidae	458
Gnathanacanthidae	459
Congiopodidae	460
Triglidae	461
Peristediidae	462
Bembridae	463
Platycephalidae	464
Hoplichthyidae	465
Normanichthyidae	466
Bathymasteridae	467
Eulophiidae	468
Zoarcidae	469
Stichaeidae	470
Cryptacanthodidae	471
Pholidae	472
Anarhichadidae	473
Ptilichthyidae	474
Zaproridae	475
Scytalinidae	476
Hypoptychidae	477
Aulorhynchidae	478
Gasterosteidae	479
Indostomidae	480
Anoplopomatidae	481
Zaniolepididae	482
Hexagrammidae	483
Trichodontidae	484
Jordaniidae	485
Rhamphocottidae	486
Scorpaenichthyidae	487
Agonidae	488
Cottidae	489
Psychrolutidae	490
Bathylutichthyidae	491
Cyclopteridae	492
Liparidae	493
Moronidae	494
Drepaneidae	495
Ephippidae	496
Emmelichthyidae	497
Sciaenidae	498
Luvaridae	499
Zanclidae	500
Acanthuridae	501
Callanthiidae	502
Sillaginidae	503
Lobotidae	504
Nemipteridae	505
Lethrinidae	506
Sparidae	507
Caproidae	508
Lophiidae	509
Antennariidae	510
Tetrabrachiidae	511
Lophichthyidae	512
Brachionichthyidae	513
Chaunacidae	514
Ogcocephalidae	515
Caulophrynidae	516
Neoceratiidae	517
Melanocetidae	518
Himantolophidae	519
Diceratiidae	520
Oneirodidae	521
Thaumatichthyidae	522
Centrophrynidae	523
Ceratiidae	524
Gigantactinidae	525
Linophrynidae	526
Triodontidae	527
Triacanthodidae	528
Triacanthidae	529
Aracanidae	530
Ostraciidae	531
Balistidae	532
Monacanthidae	533
Molidae	534
Tetraodontidae	535
Diodontidae	536
